brand,delta_pos_share,new_brand_rank,new_top2_mean,base_brand_rank,base_top2_mean
rollsroyce,-0.2,4,-0.8594539471793019,3,-0.8594539471793019
rollsroyce,-0.1,3,-0.8594539471793019,3,-0.8594539471793019
rollsroyce,-0.05,3,-0.8594539471793019,3,-0.8594539471793019
rollsroyce,0.0,3,-0.8594539471793019,3,-0.8594539471793019
rollsroyce,0.05,3,-0.8594539471793019,3,-0.8594539471793019
rollsroyce,0.1,3,-0.8594539471793019,3,-0.8594539471793019
rollsroyce,0.2,3,-0.8594539471793019,3,-0.8594539471793019
