metric,point,ci_low,ci_high
auc_roc,0.8333333333333334,0.4285714285714286,1.0
ap,0.8178571428571427,0.48437896825396826,1.0
acc,0.9090909090909091,0.6363636363636364,1.0
precision,0.8571428571428571,0.5,1.0
recall,1.0,1.0,1.0
f1,0.9230769230769231,0.6666666666666666,1.0
balanced_acc,0.9,0.6666666666666666,1.0
mcc,0.8280786712108251,0.4629100498862757,1.0
