label_rule,pos_rate,auc_roc,ap,thr_pred,acc,precision,recall,f1,balanced_acc,mcc,tn,fp,fn,tp
median (thr=1.000),0.5454545454545454,0.8333333333333334,0.8178571428571427,-0.9384479300823185,0.9090909090909091,0.8571428571428571,1.0,0.9230769230769231,0.9,0.8280786712108251,4,1,0,6
policy (thr=0.95),0.5454545454545454,0.8333333333333334,0.8178571428571427,-0.9384479300823185,0.9090909090909091,0.8571428571428571,1.0,0.9230769230769231,0.9,0.8280786712108251,4,1,0,6
"adaptive_balanced (thr=0.950, pos_rate=0.545)",0.5454545454545454,0.8333333333333334,0.8178571428571427,-0.9384479300823185,0.9090909090909091,0.8571428571428571,1.0,0.9230769230769231,0.9,0.8280786712108251,4,1,0,6
